               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037342,            0.024933,           0.0028625,             0.68622,             0.77818,             0.70922,               0.457,            0.028163,            0.020937,           0.0011428,            0.008845,            0.008845,            0.008845
                  37,            0.037353,            0.025102,            0.002851,              0.6854,             0.78046,             0.71032,             0.45808,            0.028095,            0.020913,           0.0011318,            0.008812,            0.008812,            0.008812
                  38,            0.037172,             0.02485,           0.0028436,             0.68629,             0.78006,             0.71106,             0.45912,            0.028032,            0.020889,           0.0011219,            0.008779,            0.008779,            0.008779
                  39,            0.037292,             0.02488,           0.0029221,             0.68637,             0.78091,             0.71183,             0.46019,            0.027971,            0.020865,           0.0011172,            0.008746,            0.008746,            0.008746
                  40,            0.037166,            0.025046,           0.0029317,             0.68642,              0.7823,             0.71223,             0.46131,            0.027914,            0.020839,           0.0011122,            0.008713,            0.008713,            0.008713
                  41,            0.037046,            0.024702,           0.0028102,             0.68651,             0.78404,             0.71289,             0.46226,            0.027859,             0.02081,           0.0011058,             0.00868,             0.00868,             0.00868
                  42,             0.03707,            0.024854,           0.0027834,             0.68632,              0.7849,             0.71356,             0.46313,            0.027809,            0.020792,           0.0010997,            0.008647,            0.008647,            0.008647
                  43,            0.036901,            0.024826,            0.002772,             0.68744,             0.78495,             0.71428,             0.46389,             0.02776,            0.020764,           0.0010945,            0.008614,            0.008614,            0.008614
                  44,            0.036971,            0.024765,           0.0027467,             0.68887,             0.78412,             0.71479,              0.4646,            0.027716,             0.02074,           0.0010885,            0.008581,            0.008581,            0.008581
                  45,            0.036759,            0.024863,           0.0027903,             0.68873,             0.78573,             0.71554,             0.46539,            0.027675,            0.020722,           0.0010815,            0.008548,            0.008548,            0.008548
                  46,             0.03674,            0.024725,            0.002787,              0.6895,             0.78612,             0.71603,             0.46597,            0.027639,            0.020707,            0.001076,            0.008515,            0.008515,            0.008515
                  47,            0.036825,            0.024701,           0.0027423,             0.69055,             0.78592,             0.71637,              0.4667,            0.027604,            0.020692,           0.0010712,            0.008482,            0.008482,            0.008482
                  48,            0.036731,            0.024778,           0.0028277,             0.69103,             0.78592,             0.71679,             0.46714,            0.027573,            0.020679,           0.0010669,            0.008449,            0.008449,            0.008449
                  49,             0.03653,            0.024655,           0.0027493,             0.69064,             0.78691,             0.71734,              0.4676,            0.027539,            0.020662,           0.0010633,            0.008416,            0.008416,            0.008416
                  50,            0.036606,            0.024655,           0.0027665,             0.69124,             0.78618,             0.71752,             0.46817,            0.027504,            0.020648,             0.00106,            0.008383,            0.008383,            0.008383
                  51,             0.03646,            0.024706,           0.0027019,             0.69088,             0.78756,             0.71791,             0.46885,            0.027472,            0.020629,           0.0010573,             0.00835,             0.00835,             0.00835
                  52,            0.036606,            0.024736,           0.0026736,               0.691,             0.78862,             0.71822,             0.46945,            0.027439,            0.020613,           0.0010544,            0.008317,            0.008317,            0.008317
                  53,            0.036512,            0.024545,           0.0027139,              0.6918,             0.78881,             0.71871,             0.46996,            0.027407,            0.020598,           0.0010511,            0.008284,            0.008284,            0.008284
                  54,            0.036576,            0.024689,           0.0027623,             0.69161,              0.7897,             0.71916,             0.47043,            0.027379,            0.020589,           0.0010482,            0.008251,            0.008251,            0.008251
                  55,             0.03651,            0.024633,           0.0026649,             0.69129,             0.78994,             0.71949,             0.47101,            0.027352,            0.020571,           0.0010451,            0.008218,            0.008218,            0.008218
                  56,            0.036427,             0.02439,           0.0027201,             0.69178,             0.79009,             0.71995,              0.4716,            0.027325,            0.020557,            0.001042,            0.008185,            0.008185,            0.008185
                  57,            0.036271,            0.024623,           0.0026892,             0.69155,             0.79134,              0.7203,             0.47219,            0.027297,            0.020541,           0.0010389,            0.008152,            0.008152,            0.008152
                  58,            0.036147,            0.024518,           0.0026575,             0.69254,             0.79094,             0.72063,             0.47265,            0.027269,            0.020523,           0.0010359,            0.008119,            0.008119,            0.008119
                  59,            0.036134,            0.024609,           0.0026445,             0.69347,             0.79147,             0.72124,             0.47315,            0.027242,              0.0205,           0.0010326,            0.008086,            0.008086,            0.008086
                  60,            0.036176,            0.024658,           0.0026231,             0.69419,             0.79181,             0.72174,             0.47366,            0.027217,            0.020484,           0.0010296,            0.008053,            0.008053,            0.008053
                  61,            0.036108,            0.024285,           0.0026068,             0.69399,             0.79245,             0.72223,             0.47429,            0.027191,            0.020468,           0.0010267,             0.00802,             0.00802,             0.00802
                  62,            0.036121,            0.024459,           0.0026672,             0.69529,             0.79183,             0.72258,             0.47473,            0.027166,            0.020452,           0.0010239,            0.007987,            0.007987,            0.007987
                  63,             0.03602,            0.024483,           0.0025619,             0.69488,              0.7929,             0.72299,             0.47536,             0.02714,            0.020436,           0.0010208,            0.007954,            0.007954,            0.007954
                  64,            0.035995,            0.024451,           0.0026224,              0.6947,             0.79383,             0.72334,             0.47579,            0.027115,             0.02042,           0.0010177,            0.007921,            0.007921,            0.007921
                  65,            0.035903,            0.024278,           0.0025588,             0.69551,             0.79359,              0.7237,             0.47642,            0.027088,            0.020403,           0.0010142,            0.007888,            0.007888,            0.007888
                  66,            0.035874,            0.024199,           0.0026687,             0.69604,             0.79383,             0.72431,             0.47694,            0.027062,            0.020384,           0.0010107,            0.007855,            0.007855,            0.007855
                  67,            0.036097,            0.024352,           0.0026406,             0.69555,             0.79505,             0.72479,             0.47753,            0.027034,            0.020367,           0.0010074,            0.007822,            0.007822,            0.007822
                  68,            0.035949,            0.024433,           0.0025946,             0.69624,             0.79503,             0.72534,             0.47799,             0.02701,            0.020353,           0.0010042,            0.007789,            0.007789,            0.007789
                  69,            0.035859,            0.024313,           0.0025802,             0.69665,             0.79496,             0.72573,             0.47854,            0.026986,            0.020337,           0.0010009,            0.007756,            0.007756,            0.007756
                  70,             0.03569,            0.023994,           0.0025464,             0.69708,             0.79609,             0.72636,              0.4791,            0.026961,            0.020319,          0.00099717,            0.007723,            0.007723,            0.007723
                  71,            0.035714,            0.024274,            0.002503,              0.6979,             0.79556,             0.72706,             0.47984,            0.026934,            0.020303,          0.00099371,             0.00769,             0.00769,             0.00769
                  72,            0.035805,            0.024233,           0.0025469,              0.6987,             0.79514,             0.72765,             0.48046,            0.026908,            0.020284,          0.00098992,            0.007657,            0.007657,            0.007657
                  73,            0.035581,            0.024266,           0.0024872,             0.69902,             0.79555,             0.72825,             0.48106,             0.02688,            0.020266,          0.00098635,            0.007624,            0.007624,            0.007624
                  74,            0.035656,             0.02431,           0.0025119,             0.69914,             0.79635,             0.72877,             0.48167,            0.026851,            0.020245,            0.000983,            0.007591,            0.007591,            0.007591
                  75,            0.035516,             0.02415,           0.0024537,             0.69957,             0.79683,             0.72941,             0.48252,            0.026823,            0.020225,          0.00097991,            0.007558,            0.007558,            0.007558
